PROBLEM,FEATURE_SET,ACCURACY,MACRO_PRECISION,MACRO_RECALL,MACRO_F1,WEIGHTED_PRECISION,WEIGHTED_RECALL,WEIGHTED_F1
IoT-egde_iiot-binary,DoH,99.97359999999999,99.68794326241135,99.93743245549173,99.81253195478043,0,0,0
IoT-egde_iiot-binary,DoS,99.9748,99.65419501133786,99.98862408281668,99.82112943982283,0,0,0
IoT-egde_iiot-binary,DNS,99.9928,99.90339262374268,99.99431204140834,99.94883165614873,0,0,0
IoT-egde_iiot-binary,TOR,99.9936,99.92042289546978,99.98862408281668,99.95451185534769,0,0,0
IoT-egde_iiot-binary,VPN,99.9916,99.90904956798545,99.97156020704169,99.9402951127285,0,0,0
IoT-egde_iiot-binary,ALL,99.9936,99.93177554153164,99.97724816563336,99.9545066818311,0,0,0
IoT-egde_iiot-binary,COMBO,99.9876,99.84662576687117,99.97724816563336,99.91189427312776,0,0,0
IoT-egde_iiot-binary,COMBO2,99.994,99.92610277398818,99.98862408281668,99.95735365194895,0,0,0
IoT-egde_iiot-binary,Cryptomining,99.9864,99.81829538356709,99.98862408281668,99.90338713343942,0,0,0
IoT-egde_iiot-multiclass,-,0.9996,0.9132,0.8893,0.9003,0.9994,0.9996,0.9995
HTTPS_Brute_Force,-,99.97200000000001,99.95251661918329,99.3862134088763,99.66856060606062,0,0,0
HTTPS_Brute_Force,Botnet,99.89,99.33046389287422,98.06421152030217,98.69327631266333,0,0,0
HTTPS_Brute_Force,DoH,99.984,99.85822306238185,99.7639282341832,99.81105337742088,0,0,0
HTTPS_Brute_Force,DoS,99.978,99.95258416311049,99.52785646836638,99.73976815708541,0,0,0
HTTPS_Brute_Force,DNS,99.94,99.76167778836988,98.81964117091596,99.28842504743834,0,0,0
HTTPS_Brute_Force,TOR,99.88,99.32885906040269,97.82813975448536,98.57278782112274,0,0,0
HTTPS_Brute_Force,VPN,99.966,99.85761746559089,99.33899905571295,99.59763313609467,0,0,0
HTTPS_Brute_Force,ALL,99.976,99.95256166982922,99.48064211520303,99.71604353999052,0,0,0
HTTPS_Brute_Force,COMBO,99.96199999999999,99.95240361732507,99.15014164305948,99.54965631666272,0,0,0
HTTPS_Brute_Force,COMBO2,99.952,99.90467111534795,98.96128423040605,99.43074003795066,0,0,0
HTTPS_Brute_Force,Cryptomining,99.954,99.71523493118177,99.19735599622285,99.45562130177514,0,0,0
IDS_CIC-binary,-,99.8856,99.79132895691346,99.69668500872366,99.74398453165283,0,0,0
IDS_CIC-binary,Botnet,99.6426,99.3759428201997,99.02294993960543,99.19913235603877,0,0,0
IDS_CIC-binary,DoH,99.81700000000001,99.6960404562083,99.48463293517649,99.59022450323118,0,0,0
IDS_CIC-binary,DoS,99.6928,99.27580935010594,99.35042276204537,99.3131020419115,0,0,0
IDS_CIC-binary,DNS,99.7178,99.37981027385001,99.35758063794569,99.36869421265743,0,0,0
IDS_CIC-binary,TOR,99.6792,99.56982279939163,98.99252896702903,99.2803366803959,0,0,0
IDS_CIC-binary,VPN,99.8172,99.63373899649858,99.54815908379189,99.59093065513754,0,0,0
IDS_CIC-binary,ALL,99.68860000000001,99.27479209514442,99.33252807229455,99.30365169167469,0,0,0
IDS_CIC-binary,COMBO,99.63499999999999,99.12246211038033,99.24573882700308,99.18406216328593,0,0,0
IDS_CIC-binary,COMBO2,99.6428,99.16405153376428,99.23858095110276,99.20130224404555,0,0,0
IDS_CIC-binary,Cryptomining,99.4652,99.09276643235799,98.50937234375698,98.8002081912488,0,0,0
IoT-egde_iiot-multiclass,Botnet,1.00,0.91,0.90,0.91,1.00,1.00,1.00
IoT-egde_iiot-multiclass,DoH,1.00,0.91,0.90,0.90,1.00,1.00,1.00
IoT-egde_iiot-multiclass,DoS,1.00,0.91,0.90,0.90,1.00,1.00,1.00
IoT-egde_iiot-multiclass,DNS,1.00,0.91,0.87,0.89,1.00,1.00,1.00
IoT-egde_iiot-multiclass,TOR,1.00,0.91,0.89,0.90,1.00,1.00,1.00
IoT-egde_iiot-multiclass,VPN,1.00,0.91,0.89,0.90,1.00,1.00,1.00
IoT-egde_iiot-multiclass,ALL,1.00,0.91,0.86,0.88,1.00,1.00,1.00
IoT-egde_iiot-multiclass,COMBO,1.00,0.91,0.87,0.89,1.00,1.00,1.00
IoT-egde_iiot-multiclass,COMBO2,1.00,0.91,0.89,0.90,1.00,1.00,1.00
IoT-egde_iiot-multiclass,Cryptomining,1.00,0.91,0.90,0.91,1.00,1.00,1.00
IDS_CIC-multiclass,-,0.9994,0.7498,0.7421,0.7458,0.9991,0.9994,0.9992
IDS_CIC-multiclass,Botnet,1.00,0.87,0.76,0.78,1.00,1.00,1.00
IDS_CIC-multiclass,DoH,1.00,0.87,0.77,0.80,1.00,1.00,1.00
IDS_CIC-multiclass,DoS,1.00,0.75,0.73,0.74,1.00,1.00,1.00
IDS_CIC-multiclass,DNS,1.00,0.87,0.76,0.78,1.00,1.00,1.00
